issue_id	publish_year	publish_month	publish_date	icon_url	pca 2	pca 3	Hç	L%	S%
232052	2010	10	2010/10	2205069-03_icon.jpg	0.531827182	0.927385225	42.36857599	53.52235294	30.09416291
233503	2010	10	2010/10	2205697-01_cropped_icon.jpg	-3.043839611	-4.117397208	356.904229	53.63392157	3.589930096
233618	2010	11	2010/11	1384781-x_men_icon.jpg	-0.207563923	0.240722647	13.40401955	40.78609804	23.8176599
233714	2010	11	2010/11	1386032-xmenforever7c_icon.jpg	-1.560985175	0.38263739	7.788190469	34.54160784	35.39908107
234641	2010	11	2010/11	1397711-prv6365_cov_icon.jpg	-0.867054368	-0.001181867	227.8614897	41.10109804	6.679083045
235329	2010	11	2010/11	1411763-astonishingxmen3c_icon.jpg	0.176291049	-1.438426	52.88584938	55.09592157	38.89720485
235335	2010	11	2010/11	1411776-uncanny528c_icon.jpg	-0.253873896	0.639283421	330.6528497	47.19470588	2.004628302
236199	2010	11	2010/11	1426869-xmforevv2008_dc11_lr_0001_icon.jpg	-0.853672873	0.608894454	320.435244	33.37398039	3.266663651
236412	2010	11	2010/11	1428887-prv6492_cov_icon.jpg	-0.585509307	0.476177212	25.98814477	37.8617451	17.76178449
243329	2010	11	2010/11	1506414-avgxmn_ms_icon.jpg	0.920684274	1.271531986	355.8101368	52.66058824	2.57423446
243330	2010	11	2010/11	1506542-the_ha_icon.jpg	0.740039181	-1.17790104	352.1389287	59.53156863	6.431059795
244450	2010	11	2010/11	1514721-asm_jms_bk5_icon.jpg	-0.131957872	1.162860507	26.14513241	47.01964706	21.38104972
244841	2010	11	2010/11	1516591-dks___wg_icon.jpg	0.297874519	0.29517474	8.44190813	52.04568627	10.17430806
266225	2010	11	2010/11	1727711-04_icon.jpg	2.071716309	0.473339226	60.06845613	43.88921569	7.439855251
277087	2010	11	2010/11	1887259-x_men_deluxe187_icon.jpg	-0.657042816	0.247565515	30.44284487	49.65821569	45.07482323
242284	2010	11	2010/11	1899655-aoav_icon.jpg	-1.234872615	-0.18175436	7.826580841	44.89568627	11.53436288
284120	2010	11	2010/11	1945893-08a_icon.jpg	-0.363833741	0.506105012	352.04121	34.24217647	12.91143648
292842	2010	11	2010/11	2007421-59a_icon.jpg	-1.924088357	-1.73593937	1.828440179	39.23664706	10.48694473
299702	2010	11	2010/11	2057814-02a_icon.jpg	-0.941154794	0.461388049	29.50702592	36.23798039	24.50159268
300823	2010	11	2010/11	2063585-6_21_66_1_icon.jpg	1.809092751	0.529986717	5.812513971	42.13680392	16.86211625
235666	2010	11	2010/11	2205070-04_icon.jpg	0.401868561	1.369394268	16.1966669	50.8645098	17.31227378
246845	2010	11	2010/11	2207602-01_icon.jpg	-1.963847794	-1.674784997	358.4851179	54.34294118	12.07682166
321881	2010	11	2010/11	2244191-x_factor_49_icon.jpg	-1.18861219	0.370658029	351.579021	20.46980392	5.479137132
324497	2010	11	2010/11	2260898-x_men_extra_comics_volume_81_simple_31753_icon.jpg	-0.667748307	0.711874893	59.48619715	30.70239216	11.83557263
237053	2010	12	2010/12	1439233-uncannyxforce1a_icon.jpg	-1.368261675	0.358241596	358.4592292	31.37070588	13.86643965
237208	2010	12	2010/12	1440378-chaos_war__1_icon.jpg	1.306610839	0.396765987	323.0566055	48.64960784	9.064015187
238073	2010	12	2010/12	1451870-xmenforever9c_icon.jpg	-2.148167342	0.065062107	202.3790609	34.5815098	10.2920806
238074	2010	12	2010/12	1451878-xmen4a_icon.jpg	-2.213216201	-0.648991241	355.9866906	26.62754902	11.22035633
239137	2010	12	2010/12	1467335-x23_2_legion_cps_001_icon.jpg	-4.522441394	-3.594160679	14.62716689	25.39707843	8.11016552
