issue_id	publish_year	publish_month	publish_date	icon_url	HÁ	L%	S%
275075	2006	6	2006/6	1866855-10_icon.jpg	353	44	12
275806	2006	6	2006/6	1872798-x_men_deluxe134_icon.jpg	27	43	48
292788	2006	6	2006/6	2007367-06a_icon.jpg	16	56	23
299993	2006	6	2006/6	2059597-54_icon.jpg	50	65	14
300153	2006	6	2006/6	2060315-113_icon.jpg	358	40	18
106304	2006	6	2006/6	89422-18078-106304-1-new-x-men-vol-2_icon.jpg	24	29	15
275076	2006	7	2006/7	1866856-11_icon.jpg	348	36	18
275807	2006	7	2006/7	1872801-x_men_deluxe135_icon.jpg	37	54	30
299994	2006	7	2006/7	2059598-55_icon.jpg	333	31	19
300154	2006	7	2006/7	2060316-114_icon.jpg	13	59	24
324556	2006	7	2006/7	2261580-57_icon.jpg	15	45	28
106343	2006	7	2006/7	89903-18078-106343-1-new-x-men-vol-2_icon.jpg	202	55	27
186539	2006	8	2006/8	1052950-crusade_icon.jpg	175	51	6
275077	2006	8	2006/8	1866857-12_icon.jpg	18	64	38
275860	2006	8	2006/8	1873434-x_men_deluxe136_icon.jpg	37	29	40
289453	2006	8	2006/8	1980564-x_men194_icon.jpg	358	38	8
299995	2006	8	2006/8	2059600-56_icon.jpg	24	40	8
300155	2006	8	2006/8	2060318-115_icon.jpg	217	51	13
106344	2006	8	2006/8	89904-18078-106344-1-new-x-men-vol-2_icon.jpg	9	34	11
108847	2006	9	2006/9	113322-18530-108847-1-civil-war-files_icon.jpg	24	31	28
198649	2006	9	2006/9	1142919-69050_20070213081138_large_icon.jpg	6	47	25
275078	2006	9	2006/9	1866858-13_icon.jpg	263	55	5
275870	2006	9	2006/9	1873452-x_men_deluxe137_icon.jpg	32	45	16
299996	2006	9	2006/9	2059601-57_icon.jpg	140	40	13
300156	2006	9	2006/9	2060319-116_icon.jpg	342	36	5
300345	2006	9	2006/9	2061130-69_icon.jpg	6	38	27
300567	2006	9	2006/9	2061703-07_icon.jpg	12	50	24
324555	2006	9	2006/9	2261579-58_icon.jpg	11	32	13
138254	2006	9	2006/9	536753-x_men_icon.jpg	32	21	22
106341	2006	9	2006/9	89887-18130-106341-1-wolverine-origins_icon.jpg	25	25	32
