Watchmen_(2009),Zack_Snyder,Jackie_Earle_Haley,Patrick_Wilson,Carla_Gugino,Malin_Akerman,
X-Men_Origins:_Wolverine_(2009),Gavin_Hood,Hugh_Jackman,Liev_Schreiber,Ryan_Reynolds,Danny_Huston,
Year_One_(2009),Harold_Ramis,Jack_Black,Michael_Cera,Olivia_Wilde,Oliver_Platt,
Inception_(2010),Christopher_Nolan,Leonardo_DiCaprio,Joseph_Gordon-Levitt,Ellen_Page,Ken_Watanabe,
Megamind_(2010),Tom_McGrath,Will_Ferrell,Jonah_Hill,Brad_Pitt,Tina_Fey,
Captain_America:_The_First_Avenger_(2011),Joe_Johnston,Chris_Evans,Hugo_Weaving,Samuel_L._Jackson,Hayley_Atwell,
The_Darkest_Hour_(2011),Chris_Gorak,Emile_Hirsch,Olivia_Thirlby,Max_Minghella,Rachael_Taylor,
The_Green_Hornet_(2011),Michel_Gondry,Seth_Rogen,Jay_Chou,Christoph_Waltz,Cameron_Diaz,
Limitless_(2011),Neil_Burger,Bradley_Cooper,Anna_Friel,Abbie_Cornish,Robert_De_Niro,
Real_Steel_(2011),Shawn_Levy,Hugh_Jackman,Evangeline_Lilly,Dakota_Goyo,Anthony_Mackie,
Rise_of_the_Planet_of_the_Apes_(2011),Rupert_Wyatt,James_Franco,Andy_Serkis,Freida_Pinto,Karin_Konoval,
Source_Code_(2011),Duncan_Jones,Jake_Gyllenhaal,Michelle_Monaghan,Vera_Farmiga,Jeffrey_Wright,
Spy_Kids:_All_the_Time_in_the_World_in_4D_(2011),Robert_Rodriguez,Jessica_Alba,Jeremy_Piven,Joel_McHale,Rowan_Blanchard,
The_Thing_(2011),Matthijs_van_Heijningen,Mary_Elizabeth_Winstead,Joel_Edgerton,Ulrich_Thomsen,Eric_Christian_Olsen,
Transformers:_Dark_of_the_Moon_(2011),Michael_Bay,Shia_LaBeouf,Rosie_Huntington-Whiteley,Tyrese_Gibson,Josh_Duhamel,
X-Men:_First_Class_(2011),Matthew_Vaughn,James_McAvoy,Michael_Fassbender,Jennifer_Lawrence,Kevin_Bacon,
Battleship_(2012),Peter_Berg,Alexander_SkarsgŒrd,Brooklyn_Decker,Liam_Neeson,Rihanna,
Chernobyl_Diaries_(2012),Brad_Parker,Jesse_McCartney,Jonathan_Sadowski,Olivia_Taylor_Dudley,Nathan_Phillips,
Cloud_Atlas_(2012),Tom_Tykwer,Andy_Wachowski,Tom_Hanks,Halle_Berry,Hugh_Grant,Hugo_Weaving
Dredd_(2012),Pete_Travis,Karl_Urban,Olivia_Thirlby,Lena_Headey,Rachel_Wood,
Frankenweenie_(2012),Tim_Burton,Winona_Ryder,Catherine_O'Hara,Martin_Short,Martin_Landau,
The_Hunger_Games_(2012),Gary_Ross,Jennifer_Lawrence,Josh_Hutcherson,Liam_Hemsworth,Stanley_Tucci,
Journey_2:_The_Mysterious_Island_(2012),Brad_Peyton,Josh_Hutcherson,Dwayne_Johnson,Michael_Caine,Luis_Guzm‡n,
Lockout_(2012),James_Mather,Stephen_Saint_Leger,Guy_Pearce,Maggie_Grace,Peter_Stormare,Vincent_Regan
Looper_(2012),Rian_Johnson,Joseph_Gordon-Levitt,Bruce_Willis,Emily_Blunt,Paul_Dano,
Men_in_Black_3_(2012),Barry_Sonnenfeld,Will_Smith,Tommy_Lee_Jones,Josh_Brolin,Jemaine_Clement,
Prometheus_(2012),Ridley_Scott,Noomi_Rapace,Logan_Marshall-Green,Michael_Fassbender,Charlize_Theron,
Resident_Evil:_Retribution_(2012),Paul_W.S._Anderson,Milla_Jovovich,Sienna_Guillory,Michelle_Rodriguez,Aryana_Engineer,
Total_Recall_(2012),Len_Wiseman,Colin_Farrell,Bokeem_Woodbine,Bryan_Cranston,Kate_Beckinsale,
The_Watch_(2012),Akiva_Schaffer,Ben_Stiller,Vince_Vaughn,Jonah_Hill,Billy_Crudup,
Gravity_(2013),Alfonso_Cuar—n,Sandra_Bullock,George_Clooney,Ed_Harris,Orto_Ignatiussen,
World_War_Z_(2013),Marc_Forster,Brad_Pitt,Mireille_Enos,Daniella_Kertesz,James_Badge_Dale,
Oblivion_(2013),Joseph_Kosinski,Tom_Cruise,Morgan_Freeman,Andrea_Riseborough,Olga_Kurylenko,
Man_of_Steel_(2013),Zack_Snyder,Henry_Cavill,Amy_Adams,Michael_Shannon,Diane_Lane,
Pacific_Rim_(2013),Guillermo_del_Toro,Idris_Elba,Charlie_Hunnam,Rinko_Kikuchi,Charlie_Day,
The_Hunger_Games:_Catching_Fire_(2013),Francis_Lawrence,Jennifer_Lawrence,Josh_Hutcherson,Liam_Hemsworth,Philip_Seymour_Hoffman,
The_Host_(2013),Andrew_Niccol,Saoirse_Ronan,Max_Irons,Jake_Abel,Diane_Kruger,
