movietitle,Time Interval
Blast from the Past ,"<[1999,1999]>"
Inspector Gadget ,"<[1999,1999]>"
Lake Placid ,"<[1999,1999]>"
Muppets from Space ,"<[1999,1999]>"
My Favorite Martian ,"<[1999,1999]>"
Mystery Men ,"<[1999,1999]>"
Pokí©mon: The First Movie - Mewtwo Strikes Back ,"<[1998,1998]>"
The Thirteenth Floor ,"<[1999,1999]>"
Virus ,"<[1999,1999]>"
Wild Wild West ,"<[1999,1999]>"
Wing Commander ,"<[1999,1999]>"
Mission to Mars ,"<[2000,2000]>"
Nutty Professor II: The Klumps ,"<[2000,2000]>"
Titan A.E. ,"<[2000,2000]>"
Evolution ,"<[2001,2001]>"
Final Fantasy: The Spirits Within ,"<[2001,2001]>"
Jimmy Neutron: Boy Genius ,"<[2001,2001]>"
Just Visiting ,"<[2001,2001]>"
Left Behin ,
The One ,"<[2001,2001]>"
Eight Legged Freaks ,"<[2002,2002]>"
S1m0ne ,"<[2002,2002]>"
Solaris ,"<[2002,2002]>"
Spy Kids 2: Island of Lost Dreams ,"<[2002,2002]>"
The Tuxedo ,"<[2002,2002]>"
The Core ,"<[2003,2003]>"
Spy Kids 3-D: Game Over ,"<[2003,2003]>"
Anacondas: The Hunt for the Blood Orchid ,"<[2004,2004]>"
Thunderbirds ,"<[2004,2004]>"
Land of the Dead ,"<[2005,2005]>"
A Sound of Thunder ,"<[2005,2005]>"
My Super Ex-Girlfriend ,"<[2006,2006]>"
The Invasion ,"<[2007,2007]>"
The Last Mimzy ,"<[2007,2007]>"
TMNT ,"<[2007,2007]>"
Underdog ,"<[2007,2007]>"
Quarantine ,"<[2008,2008]>"
Space Chimps ,"<[2008,2008]>"
Superhero Movie ,"<[2008,2008]>"
Battle for Terra ,"<[2007,2007]>"
Mars Needs Moms ,"<[2011,2011]>"
Freezing People Is Eas ,
Snowpiercer ,"<[2013,2013]>"
About Time ,"<[2013,2013]>"
The Congress ,"<[2013,2013]>"
The Colony ,"<[2013,2013]>"
Rollerball ,"<[1975,1975]>"
Escape to Witch Mountain ,"<[1975,1975]>"
King Kong ,"<[1976,1976]>"
The Man Who Fell to Earth ,"<[1976,1976]>"
Wizards ,"<[1977,1977]>"
Capricorn One ,"<[1977,1977]>"
The Boys from Brazil ,"<[1978,1978]>"
Attack of the Killer Tomatoes! ,"<[1978,1978]>"
Piranha ,"<[1978,1978]>"
The Black Hole ,"<[1979,1979]>"
The Brood ,"<[1979,1979]>"
Phantasm ,"<[1979,1979]>"
