Id,NodeType
Harry_Connick,person
Jennifer_Aniston,person
Vin_Diesel,person
Iron_Man_(2008),movie
Jon_Favreau,person
Gwyneth_Paltrow,person
Terrence_Howard,person
Jeff_Bridges,person
Star_Trek_Into_Darkness_(2013),movie
Benedict_Cumberbatch,person
Predator_(1987),movie
John_McTiernan,person
Carl_Weathers,person
Kevin_Peter_Hall,person
Elpidia_Carrillo,person
Batman:_Mask_of_the_Phantasm_(1993),movie
Eric_Radomski,person
Bruce_W._Timm,person
Kevin_Conroy,person
Dana_Delany,person
Hart_Bochner,person
Stacy_Keach,person
X-Men:_First_Class_(2011),movie
Matthew_Vaughn,person
James_McAvoy,person
Michael_Fassbender,person
Jennifer_Lawrence,person
Kevin_Bacon,person
Star_Trek_II:_The_Wrath_of_Khan_(1982),movie
Nicholas_Meyer,person
William_Shatner,person
DeForest_Kelley,person
James_Doohan,person
Star_Wars:_Episode_III_-_Revenge_of_the_Sith_(2005),movie
Hayden_Christensen,person
Ewan_McGregor,person
Minority_Report_(2002),movie
Steven_Spielberg,person
Tom_Cruise,person
Colin_Farrell,person
Samantha_Morton,person
Max_von_Sydow,person
Watchmen_(2009),movie
Zack_Snyder,person
Jackie_Earle_Haley,person
Patrick_Wilson,person
Carla_Gugino,person
Malin_Akerman,person
The_Fifth_Element_(1997),movie
Luc_Besson,person
Bruce_Willis,person
Milla_Jovovich,person
Gary_Oldman,person
Ian_Holm,person
Equilibrium_(2002),movie
Kurt_Wimmer,person
Sean_Bean,person
Emily_Watson,person
Taye_Diggs,person
Batman_(1989),movie
Tim_Burton,person
Michael_Keaton,person
Jack_Nicholson,person
Kim_Basinger,person
Robert_Wuhl,person
Star_Trek:_First_Contact_(1996),movie
Jonathan_Frakes,person
Patrick_Stewart,person
Brent_Spiner,person
LeVar_Burton,person
RoboCop_(1987),movie
Paul_Verhoeven,person
Peter_Weller,person
Nancy_Allen,person
Dan_O'Herlihy,person
Ronny_Cox,person
X2_(2003),movie
Bryan_Singer,person
Hugh_Jackman,person
Halle_Berry,person
Ian_McKellen,person
Looper_(2012),movie
