issue_id	publish_year	publish_month	icon_url	"Character Id: 1464, Name: Iceman"	Number of Issues: 3517
15059	1975	2	13426-2683-15059-1-giant-size-fantastic_icon.jpg		
15083	1975	2	13450-2133-15083-1-x-men_icon.jpg		
144085	1975	3	630345-s6_icon.jpg		
15298	1975	4	13652-2133-15298-1-x-men_icon.jpg		
14890	1975	5	13286-2763-14890-1-giant-size-x-men_icon.jpg		
190784	1975	6	1082621-137678_20080729154405_large_icon.jpg		
216929	1975	6	1248712-foom_v1_010_icon.jpg		
15321	1975	6	13669-2128-15321-1-avengers-the_icon.jpg		
15508	1975	8	13846-2133-15508-1-x-men_icon.jpg		
15671	1975	10	13998-2746-15671-1-champions-the_icon.jpg		
178793	1975	10	1005619-164705_20090314164928_large_icon.jpg		
190787	1975	10	1082631-98457_20070707131910_large_icon.jpg		
14896	1975	12	13292-2763-14896-1-giant-size-x-men_icon.jpg		
15996	1976	1	14300-2746-15996-1-champions-the_icon.jpg		
16072	1976	2	14370-2746-16072-1-champions-the_icon.jpg		
16161	1976	3	14455-2746-16161-1-champions-the_icon.jpg		
16247	1976	4	14537-2746-16247-1-champions-the_icon.jpg		
16255	1976	4	14545-2636-16255-1-ghost-rider_icon.jpg		
223605	1976	5	1293418-187_icon.jpg		
16440	1976	6	14724-2133-16440-1-x-men_icon.jpg		
16409	1976	6	14693-2746-16409-1-champions-the_icon.jpg		
16416	1976	6	14700-2636-16416-1-ghost-rider_icon.jpg		
67502	1976	7	51240-2702-67502-1-spidey-super-stories_icon.jpg		
220852	1976	7	1274573-198_icon.jpg		
16618	1976	8	14893-2133-16618-1-x-men_icon.jpg		
16587	1976	8	14862-2746-16587-1-champions-the_icon.jpg		
16673	1976	9	14943-2128-16673-1-avengers-the_icon.jpg		
325313	1976	9	2266939-4_icon.jpg		
331953	1976	9	2300292-titansann1977_icon.jpg		
16764	1976	10	15027-2746-16764-1-champions-the_icon.jpg		
64791	1976	11	49835-2293-64791-1-marvel-tales_icon.jpg		
305492	1976	11	2113757-700970_icon.jpg		
16947	1976	12	15199-2746-16947-1-champions-the_icon.jpg		
17095	1977	1	15338-2746-17095-1-champions-the_icon.jpg		
17099	1977	1	15342-2569-17099-1-defenders-the_icon.jpg		
305493	1977	1	2113758-700971_icon.jpg		
17175	1977	2	15409-2746-17175-1-champions-the_icon.jpg		
17264	1977	3	15489-2746-17264-1-champions-the_icon.jpg		
325385	1977	3	2267657-7_icon.jpeg		
17346	1977	4	15565-2636-17346-1-ghost-rider_icon.jpg		
17347	1977	4	15566-2406-17347-1-incredible-hulk-the_icon.jpg		
17427	1977	5	15641-2746-17427-1-champions-the_icon.jpg		
325387	1977	5	2267660-8_icon.jpeg		
17594	1977	7	15789-2746-17594-1-champions-the_icon.jpg		
17605	1977	7	15800-2576-17605-1-marvel-team-up_icon.jpg		
325388	1977	7	2267661-9_icon.jpeg		
17708	1977	8	15896-2133-17708-1-x-men_icon.jpg		
17687	1977	8	2186053-04_icon.jpg		
