issue_id	publish_year	publish_month	icon_url	"Character Id: 40454, Name: Hellion"	Number of Issues: 605
275085	2007	4	1866865-20_icon.jpg		
300003	2007	4	2059609-64_icon.jpg		
284098	2007	4	1945857-01_icon.jpg		
106930	2007	5	98734-18078-106930-1-new-x-men-vol-2_icon.jpg		
168660	2007	5	935569-snikt_icon.jpg		
132592	2007	5	440519-civil_war_companion_1_00_icon.jpg		
275914	2007	5	1873822-x_men_deluxe145_icon.jpg		
275086	2007	5	1866866-21_icon.jpg		
300353	2007	5	2061142-77_icon.jpg		
300164	2007	5	2060327-124_icon.jpg		
300004	2007	5	2059610-65_icon.jpg		
107611	2007	6	170434-18078-107611-15-new-x-men-vol-2_icon.jpg		
186543	2007	6	1053016-mf_icon.jpg		
275916	2007	6	1873851-x_men_deluxe146_icon.jpg		
108003	2007	6	2029168-01a_icon.jpg		
275087	2007	6	1866867-22_icon.jpg		
300354	2007	6	2061143-78_icon.jpg		
300005	2007	6	2059613-66_icon.jpg		
107615	2007	7	118993-18078-107615-7-new-x-men-vol-2_icon.jpg		
275917	2007	7	1873877-x_men_deluxe147_icon.jpg		
275088	2007	7	1866868-23_icon.jpg		
300166	2007	7	2060329-126_icon.jpg		
300006	2007	7	2059614-67_icon.jpg		
300538	2007	7	2061660-67_icon.jpg		
107619	2007	8	135170-18078-107619-12-new-x-men-vol-2_icon.jpg		
111036	2007	8	140924-18786-111036-1-world-war-hulk-x-me_icon.jpg		
276861	2007	8	1885454-x_men_deluxe148_icon.jpg		
275089	2007	8	1866869-24_icon.jpg		
284008	2007	8	1945638-27a_icon.jpg		
300167	2007	8	2060330-127_icon.jpg		
300007	2007	8	2059617-68_icon.jpg		
109760	2007	9	153149-18078-109760-3-new-x-men-vol-2_icon.JPG		
111931	2007	9	157524-10731-111931-1-x-men_icon.jpg		
114946	2007	9	199344-10731-114946-2-x-men_icon.jpg		
111339	2007	9	146793-18671-111339-1-new-warriors_icon.jpg		
111708	2007	9	154922-18786-111708-1-world-war-hulk-x-me_icon.jpg		
276862	2007	9	1885478-x_men_deluxe149_icon.jpg		
289839	2007	9	1983643-x_men207_icon.jpg		
275090	2007	9	1866870-25_icon.jpg		
284009	2007	9	1945639-28a_icon.jpg		
300357	2007	9	2061150-81_icon.jpg		
300168	2007	9	2060331-128_icon.jpg		
300008	2007	9	2059631-69_icon.jpg		
300434	2007	9	2061407-21_icon.jpg		
284103	2007	9	1945863-06_icon.jpg		
109761	2007	10	172305-18078-109761-2-new-x-men_icon.jpg		
113738	2007	10	176516-10731-113738-1-x-men_icon.jpg		
113957	2007	10	184252-18786-113957-1-world-war-hulk-x-me_icon.jpg		
276864	2007	10	1885527-x_men_deluxe150_icon.jpg		
275091	2007	10	1866871-26_icon.jpg		
300009	2007	10	2059648-70_icon.jpg		
114617	2007	11	195522-18078-114617-1-new-x-men_icon.jpg		
264861	2007	11	1700088-158_icon.jpg		
275092	2007	11	1866872-27_icon.jpg		
306199	2007	11	2119796-6_17_130_1_icon.jpg		
300010	2007	11	2059661-71_icon.jpg		
114395	2007	11	192411-18109-114395-1-x-factor_icon.jpg		
116391	2007	12	221331-18078-116391-1-new-x-men_icon.jpg		
148690	2007	12	656936-386px_x_men_messiah_complex_mutant_files_vol_1_1_icon.jpg		
186544	2007	12	1053030-qfm2_icon.jpg		
276866	2007	12	1885541-x_men_deluxe152_icon.jpg		
275093	2007	12	1866873-28_icon.jpg		
306200	2007	12	2119797-6_17_131_1_icon.jpg		
300011	2007	12	2059672-72_icon.jpg		
300543	2007	12	2061668-72_icon.jpg		
118081	2008	1	235808-18078-118081-1-new-x-men_icon.jpg		
118499	2008	1	243524-10731-118499-1-x-men_icon.jpg		
175927	2008	1	2338968-990784_xmn_super_icon.gif		
186405	2008	1	1051959-warsong_icon.jpg		
275094	2008	1	1866875-29_icon.jpg		
300169	2008	1	2060332-132_icon.jpg		
300012	2008	1	2059673-73_icon.jpg		
300544	2008	1	2061669-73_icon.jpg		
119231	2008	2	249605-3092-119231-1-the-uncanny-x-men_icon.jpg		
120242	2008	2	259011-18078-120242-1-new-x-men_icon.jpg		
189762	2008	2	1074279-es_icon.jpg		
171669	2008	2	1177822-nw_icon.jpg		
