Id,mod_t1,mod_t2,mod_t3,mod_t4,mod_t5,mod_t6,mod_t7,mod_t8,mod_t9,mod_t10
228,2,0,0,1,1,2,1,3,0,126
229,3,3,3,3,3,3,3,3,3,127
230,3,3,3,3,3,3,3,3,3,128
231,0,0,0,0,0,0,0,0,0,129
232,0,3,3,0,0,0,0,0,0,107
233,0,0,3,0,3,0,0,0,0,107
234,3,3,3,3,3,3,3,3,3,130
235,3,3,3,3,3,3,3,3,3,131
236,0,0,0,0,0,0,0,0,0,262
237,0,0,0,0,0,0,0,0,0,132
238,3,3,3,3,3,3,3,3,3,216
239,3,3,3,3,3,3,3,3,3,133
240,3,3,3,3,3,3,3,3,3,134
241,3,3,3,3,3,3,3,3,3,135
242,3,3,3,3,3,3,3,3,3,136
243,2,2,2,2,2,2,2,2,2,137
244,2,2,2,2,2,2,2,2,2,138
245,2,2,2,2,2,2,2,2,2,139
246,2,2,2,2,2,2,2,2,2,140
247,2,2,2,2,2,2,2,2,2,141
248,2,2,2,2,2,2,2,2,2,142
249,2,2,2,2,2,2,2,2,2,175
250,2,2,2,2,2,2,2,2,2,190
251,2,2,2,2,2,2,2,2,2,262
252,2,2,2,2,2,2,2,2,2,143
253,2,2,2,2,2,2,2,2,2,175
254,2,2,2,2,2,2,2,2,2,144
255,2,2,2,2,2,2,2,2,2,175
256,2,2,2,2,2,2,2,2,2,145
257,2,2,2,2,2,2,2,2,2,317
258,2,2,2,2,2,2,2,2,2,146
259,2,2,2,2,2,2,2,2,2,147
260,2,2,2,2,2,2,2,2,2,148
261,2,2,2,2,2,2,2,2,2,149
262,2,2,2,2,2,2,2,2,2,150
263,2,2,2,2,2,2,2,2,2,107
264,2,2,2,2,2,2,2,2,2,151
265,2,2,2,2,2,2,2,2,2,152
266,2,2,2,2,2,2,2,2,0,114
267,2,2,2,2,2,2,2,2,2,114
268,2,2,2,2,2,2,2,2,2,153
269,2,2,2,2,2,2,2,2,2,154
270,2,2,2,2,2,2,2,2,2,175
271,2,2,2,2,2,2,2,2,2,155
272,2,2,2,2,2,2,2,2,2,156
273,2,2,2,2,2,2,2,2,2,254
274,2,2,2,2,2,2,2,2,2,129
275,2,2,2,2,2,2,2,2,2,157
276,2,2,2,2,2,2,2,2,2,175
277,1,1,1,1,1,1,1,1,1,118
278,2,2,2,2,2,2,2,2,2,17
279,2,2,2,2,2,2,2,2,2,262
280,2,2,2,2,2,2,2,2,2,158
281,2,2,2,2,2,2,2,2,2,159
282,2,2,2,2,2,2,2,2,2,114
283,2,2,2,2,2,2,2,2,2,160
284,2,2,2,2,2,2,2,2,2,161
285,2,2,2,2,2,2,2,2,2,162
286,2,2,2,2,2,2,2,2,2,163
287,2,2,2,2,2,2,2,2,2,114
288,1,1,1,1,1,1,1,1,1,164
289,2,2,2,2,2,2,2,2,2,165
290,2,2,2,2,2,2,2,2,2,166
291,2,2,2,2,2,2,2,2,2,262
292,2,2,2,0,0,2,2,2,2,167
293,2,2,2,2,2,2,2,2,2,168
294,0,0,0,0,0,0,0,0,0,169
295,1,1,1,1,1,1,1,1,1,170
296,1,1,1,1,1,1,1,1,1,171
297,0,0,0,0,0,0,0,2,1,172
298,1,1,1,1,1,1,1,1,1,173
299,0,0,0,0,0,0,0,0,0,232
300,1,1,1,1,1,1,1,1,1,174
301,2,2,2,2,2,2,2,2,2,175
302,2,2,2,2,2,2,2,2,2,176
303,2,2,2,2,2,2,2,2,2,232
304,0,0,0,3,2,0,2,2,1,262
305,2,2,2,2,2,2,2,2,2,177
306,2,2,2,2,2,2,2,2,2,232
307,1,1,1,1,1,1,1,1,1,178
308,1,1,1,1,1,1,1,1,1,179
309,3,3,3,3,3,3,3,3,3,260
310,3,3,3,3,3,3,3,3,3,317
311,1,1,1,1,1,1,1,1,1,180
312,1,1,1,1,1,1,1,1,1,181
313,2,0,0,1,1,2,1,3,0,182
314,2,0,0,1,1,2,1,3,0,183
315,2,2,0,1,1,2,1,3,2,184
316,2,0,0,1,1,2,1,3,2,185
317,1,1,1,1,1,1,1,1,1,124
318,1,1,1,1,1,1,1,1,1,107
319,1,1,1,1,1,1,1,1,1,186
320,3,3,3,3,3,3,3,3,3,213
321,3,3,3,3,3,3,3,3,3,216
322,3,3,0,3,3,3,3,3,3,187
323,3,3,0,3,3,3,3,3,3,254
324,3,3,0,3,3,3,3,3,0,218
325,3,3,0,3,3,3,1,3,3,188
326,3,3,0,3,3,3,1,3,0,100
327,3,3,0,3,3,3,3,3,0,100
328,0,0,0,0,0,0,0,0,2,213
329,0,0,0,0,0,0,0,2,0,232
