"Character Id: 1444, Name: Storm"	Number of Issues: 4327					
issue_id	publish_year	publish_month	super_url	icon_url	super_url	icon_url
20866	1980	12	http://media.comicvine.com/uploads/0/4/18660-2576-20866-1-marvel-team-up_super.jpg	http://media.comicvine.com/uploads/0/4/18660-2576-20866-1-marvel-team-up_icon.jpg	18660-2576-20866-1-marvel-team-up_super.jpg	18660-2576-20866-1-marvel-team-up_icon.jpg
20988	1981	1	http://media.comicvine.com/uploads/0/4/18772-2133-20988-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/18772-2133-20988-1-x-men_icon.jpg	18772-2133-20988-1-x-men_super.jpg	18772-2133-20988-1-x-men_icon.jpg
138854	1981	1	http://media.comicvine.com/uploads/0/5586/543176-x5_super.jpg	http://media.comicvine.com/uploads/0/5586/543176-x5_icon.jpg	543176-x5_super.jpg	543176-x5_icon.jpg
21057	1981	2	http://media.comicvine.com/uploads/0/4/18838-3092-21057-1-uncanny-x-men-the_super.jpg	http://media.comicvine.com/uploads/0/4/18838-3092-21057-1-uncanny-x-men-the_icon.jpg	18838-3092-21057-1-uncanny-x-men-the_super.jpg	18838-3092-21057-1-uncanny-x-men-the_icon.jpg
21127	1981	3	http://media.comicvine.com/uploads/0/4/18906-3092-21127-1-uncanny-x-men-the_super.jpg	http://media.comicvine.com/uploads/0/4/18906-3092-21127-1-uncanny-x-men-the_icon.jpg	18906-3092-21127-1-uncanny-x-men-the_super.jpg	18906-3092-21127-1-uncanny-x-men-the_icon.jpg
21106	1981	3	http://media.comicvine.com/uploads/0/4/18885-3083-21106-1-dazzler_super.jpg	http://media.comicvine.com/uploads/0/4/18885-3083-21106-1-dazzler_icon.jpg	18885-3083-21106-1-dazzler_super.jpg	18885-3083-21106-1-dazzler_icon.jpg
21171	1981	4	http://media.comicvine.com/uploads/0/4/18946-3083-21171-1-dazzler_super.jpg	http://media.comicvine.com/uploads/0/4/18946-3083-21171-1-dazzler_icon.jpg	18946-3083-21171-1-dazzler_super.jpg	18946-3083-21171-1-dazzler_icon.jpg
107059	1981	4	http://media.comicvine.com/uploads/0/229/99607-3092-107059-1-uncanny-x-men-the_super.jpg	http://media.comicvine.com/uploads/0/229/99607-3092-107059-1-uncanny-x-men-the_icon.jpg	99607-3092-107059-1-uncanny-x-men-the_super.jpg	99607-3092-107059-1-uncanny-x-men-the_icon.jpg
21188	1981	4	http://media.comicvine.com/uploads/0/4/18963-3010-21188-1-rom_super.jpg	http://media.comicvine.com/uploads/0/4/18963-3010-21188-1-rom_icon.jpg	18963-3010-21188-1-rom_super.jpg	18963-3010-21188-1-rom_icon.jpg
21193	1981	4	http://media.comicvine.com/uploads/0/4/18968-2960-21193-1-spider-woman_super.jpg	http://media.comicvine.com/uploads/0/4/18968-2960-21193-1-spider-woman_icon.jpg	18968-2960-21193-1-spider-woman_super.jpg	18968-2960-21193-1-spider-woman_icon.jpg
21258	1981	5	http://media.comicvine.com/uploads/0/4/19030-3092-21258-1-uncanny-x-men-the_super.jpg	http://media.comicvine.com/uploads/0/4/19030-3092-21258-1-uncanny-x-men-the_icon.jpg	19030-3092-21258-1-uncanny-x-men-the_super.jpg	19030-3092-21258-1-uncanny-x-men-the_icon.jpg
