"Character Id: 40454, Name: Hellion"	Number of Issues: 605					
issue_id	publish_year	publish_month	super_url	icon_url	super_url	icon_url
107615	2007	7	http://media.comicvine.com/uploads/0/308/118993-18078-107615-7-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/308/118993-18078-107615-7-new-x-men-vol-2_icon.jpg	118993-18078-107615-7-new-x-men-vol-2_super.jpg	118993-18078-107615-7-new-x-men-vol-2_icon.jpg
107619	2007	8	http://media.comicvine.com/uploads/0/308/135170-18078-107619-12-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/308/135170-18078-107619-12-new-x-men-vol-2_icon.jpg	135170-18078-107619-12-new-x-men-vol-2_super.jpg	135170-18078-107619-12-new-x-men-vol-2_icon.jpg
107647	2003	8	http://media.comicvine.com/uploads/0/455/102292-18351-107647-1-new-mutants_super.jpg	http://media.comicvine.com/uploads/0/455/102292-18351-107647-1-new-mutants_icon.jpg	102292-18351-107647-1-new-mutants_super.jpg	102292-18351-107647-1-new-mutants_icon.jpg
107651	2003	11	http://media.comicvine.com/uploads/0/455/102365-18351-107651-1-new-mutants_super.jpg	http://media.comicvine.com/uploads/0/455/102365-18351-107651-1-new-mutants_icon.jpg	102365-18351-107651-1-new-mutants_super.jpg	102365-18351-107651-1-new-mutants_icon.jpg
107652	2003	9	http://media.comicvine.com/uploads/0/455/102313-18351-107652-1-new-mutants_super.jpg	http://media.comicvine.com/uploads/0/455/102313-18351-107652-1-new-mutants_icon.jpg	102313-18351-107652-1-new-mutants_super.jpg	102313-18351-107652-1-new-mutants_icon.jpg
107611	2007	6	http://media.comicvine.com/uploads/0/7359/170434-18078-107611-15-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/7359/170434-18078-107611-15-new-x-men-vol-2_icon.jpg	170434-18078-107611-15-new-x-men-vol-2_super.jpg	170434-18078-107611-15-new-x-men-vol-2_icon.jpg
108407	2004	1	http://media.comicvine.com/uploads/0/77/107347-18351-108407-1-new-mutants_super.jpg	http://media.comicvine.com/uploads/0/77/107347-18351-108407-1-new-mutants_icon.jpg	107347-18351-108407-1-new-mutants_super.jpg	107347-18351-108407-1-new-mutants_icon.jpg
108408	2004	1	http://media.comicvine.com/uploads/0/77/107354-18351-108408-1-new-mutants_super.jpg	http://media.comicvine.com/uploads/0/77/107354-18351-108408-1-new-mutants_icon.jpg	107354-18351-108408-1-new-mutants_super.jpg	107354-18351-108408-1-new-mutants_icon.jpg
108409	2004	2	http://media.comicvine.com/uploads/0/77/107367-18351-108409-1-new-mutants_super.jpg	http://media.comicvine.com/uploads/0/77/107367-18351-108409-1-new-mutants_icon.jpg	107367-18351-108409-1-new-mutants_super.jpg	107367-18351-108409-1-new-mutants_icon.jpg
108410	2004	3	http://media.comicvine.com/uploads/0/77/107373-18351-108410-1-new-mutants_super.jpg	http://media.comicvine.com/uploads/0/77/107373-18351-108410-1-new-mutants_icon.jpg	107373-18351-108410-1-new-mutants_super.jpg	107373-18351-108410-1-new-mutants_icon.jpg
108847	2006	9	http://media.comicvine.com/uploads/0/574/113322-18530-108847-1-civil-war-files_super.jpg	http://media.comicvine.com/uploads/0/574/113322-18530-108847-1-civil-war-files_icon.jpg	113322-18530-108847-1-civil-war-files_super.jpg	113322-18530-108847-1-civil-war-files_icon.jpg
109760	2007	9	http://media.comicvine.com/uploads/0/3016/153149-18078-109760-3-new-x-men-vol-2_super.JPG	http://media.comicvine.com/uploads/0/3016/153149-18078-109760-3-new-x-men-vol-2_icon.JPG	153149-18078-109760-3-new-x-men-vol-2_super.JPG	153149-18078-109760-3-new-x-men-vol-2_icon.JPG
110486	2007	2	http://media.comicvine.com/uploads/0/77/135338-18078-110486-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/135338-18078-110486-1-new-x-men-vol-2_icon.jpg	135338-18078-110486-1-new-x-men-vol-2_super.jpg	135338-18078-110486-1-new-x-men-vol-2_icon.jpg
110487	2007	3	http://media.comicvine.com/uploads/0/77/135339-18078-110487-1-new-x-men-vol-2_super.jpg	http://media.comicvine.com/uploads/0/77/135339-18078-110487-1-new-x-men-vol-2_icon.jpg	135339-18078-110487-1-new-x-men-vol-2_super.jpg	135339-18078-110487-1-new-x-men-vol-2_icon.jpg
