"Character Id: 1464, Name: Iceman"	Number of Issues: 3517						
issue_id	publish_year	publish_month	publish_day	super_url	icon_url	super_url	icon_url
9493	1967	7	-1	http://media.comicvine.com/uploads/0/4/8596-2133-9493-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/8596-2133-9493-1-x-men_icon.jpg	8596-2133-9493-1-x-men_super.jpg	8596-2133-9493-1-x-men_icon.jpg
9565	1967	8	-1	http://media.comicvine.com/uploads/0/4/8663-2133-9565-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/8663-2133-9565-1-x-men_icon.jpg	8663-2133-9565-1-x-men_super.jpg	8663-2133-9565-1-x-men_icon.jpg
9625	1967	9	-1	http://media.comicvine.com/uploads/0/4/8718-2133-9625-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/8718-2133-9625-1-x-men_icon.jpg	8718-2133-9625-1-x-men_super.jpg	8718-2133-9625-1-x-men_icon.jpg
9695	1967	10	-1	http://media.comicvine.com/uploads/0/4/8784-2133-9695-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/8784-2133-9695-1-x-men_icon.jpg	8784-2133-9695-1-x-men_super.jpg	8784-2133-9695-1-x-men_icon.jpg
9763	1967	11	-1	http://media.comicvine.com/uploads/0/4/8845-2133-9763-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/8845-2133-9763-1-x-men_icon.jpg	8845-2133-9763-1-x-men_super.jpg	8845-2133-9763-1-x-men_icon.jpg
9761	1967	11	-1	http://media.comicvine.com/uploads/0/4/8843-2008-9761-1-tales-to-astonish_super.jpg	http://media.comicvine.com/uploads/0/4/8843-2008-9761-1-tales-to-astonish_icon.jpg	8843-2008-9761-1-tales-to-astonish_super.jpg	8843-2008-9761-1-tales-to-astonish_icon.jpg
9825	1967	12	-1	http://media.comicvine.com/uploads/0/4/8901-2133-9825-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/8901-2133-9825-1-x-men_icon.jpg	8901-2133-9825-1-x-men_super.jpg	8901-2133-9825-1-x-men_icon.jpg
9888	1968	1	-1	http://media.comicvine.com/uploads/0/4/8957-2133-9888-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/8957-2133-9888-1-x-men_icon.jpg	8957-2133-9888-1-x-men_super.jpg	8957-2133-9888-1-x-men_icon.jpg
9945	1968	2	-1	http://media.comicvine.com/uploads/0/4/9004-2133-9945-1-x-men_super.jpg	http://media.comicvine.com/uploads/0/4/9004-2133-9945-1-x-men_icon.jpg	9004-2133-9945-1-x-men_super.jpg	9004-2133-9945-1-x-men_icon.jpg
248276	1968	2	10	http://media.comicvine.com/uploads/7/72373/1547627-fantastic52_super.jpg	http://media.comicvine.com/uploads/7/72373/1547627-fantastic52_icon.jpg	1547627-fantastic52_super.jpg	1547627-fantastic52_icon.jpg
