Transformers: Revenge of the Fallen (2009),Michael Bay,Shia LaBeouf,Megan Fox,Josh Duhamel,Tyrese Gibson,
Underworld: Rise of the Lycans (2009),Patrick Tatopoulos,Rhona Mitra,Michael Sheen,Bill Nighy,Steven Mackintosh,
Watchmen (2009),Zack Snyder,Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman,
X-Men Origins: Wolverine (2009),Gavin Hood,Hugh Jackman,Liev Schreiber,Ryan Reynolds,Danny Huston,
Year One (2009),Harold Ramis,Jack Black,Michael Cera,Olivia Wilde,Oliver Platt,
Inception (2010),Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Ken Watanabe,
Megamind (2010),Tom McGrath,Will Ferrell,Jonah Hill,Brad Pitt,Tina Fey,
Captain America: The First Avenger (2011),Joe Johnston,Chris Evans,Hugo Weaving,Samuel L. Jackson,Hayley Atwell,
The Darkest Hour (2011),Chris Gorak,Emile Hirsch,Olivia Thirlby,Max Minghella,Rachael Taylor,
The Green Hornet (2011),Michel Gondry,Seth Rogen,Jay Chou,Christoph Waltz,Cameron Diaz,
Limitless (2011),Neil Burger,Bradley Cooper,Anna Friel,Abbie Cornish,Robert De Niro,
Real Steel (2011),Shawn Levy,Hugh Jackman,Evangeline Lilly,Dakota Goyo,Anthony Mackie,
Rise of the Planet of the Apes (2011),Rupert Wyatt,James Franco,Andy Serkis,Freida Pinto,Karin Konoval,
Source Code (2011),Duncan Jones,Jake Gyllenhaal,Michelle Monaghan,Vera Farmiga,Jeffrey Wright,
Spy Kids: All the Time in the World in 4D (2011),Robert Rodriguez,Jessica Alba,Jeremy Piven,Joel McHale,Rowan Blanchard,
The Thing (2011),Matthijs van Heijningen,Mary Elizabeth Winstead,Joel Edgerton,Ulrich Thomsen,Eric Christian Olsen,
Transformers: Dark of the Moon (2011),Michael Bay,Shia LaBeouf,Rosie Huntington-Whiteley,Tyrese Gibson,Josh Duhamel,
